RULE_NUM;ROLE_CODE;ROLE_NAME;PERSON_NUMBER_ARR;STAGE_ETALONE_CODE_ARR;POST_ETALONE_CODE_ARR;DIV_CODE_ARR;EXCLUDE_DIV_CODE_ARR;BUSINESS_BLOCK;UCH_CODE;ORG_UNIT_CODE;TB_CODE;GOSB_CODE
102131001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ЦЧБ);;;[20000726, 20000727, 20000195];[10293924];;KMKKSB;1;10293924;;
102161001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат УБ);;;[20000726, 20000727, 20000195];[10293489];;KMKKSB;1;10293489;;
102181001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ББ);;;[20000726, 20000727, 20000195];[10353225];;KMKKSB;1;10353225;;
102381381;KM_KKSB;Клиентский менеджер ККСБ (Управление инфраструктуры МБ);;;[20000726, 20000727, 20000195];[10242114];;KMKKSB;1;10242114;;
102381382;KM_KKSB;Клиентский менеджер ККСБ (Управление промышленности МБ);;;[20000726, 20000727, 20000195];[10242078];;KMKKSB;1;10242078;;
102381383;KM_KKSB;Клиентский менеджер ККСБ (Управление сферы недвижимости МБ);;;[20000726, 20000727, 20000195];[10240714];;KMKKSB;1;10240714;;
102381384;KM_KKSB;Клиентский менеджер ККСБ (Управление сферы услуг МБ);;;[20000726, 20000727, 20000195];[10241967];;KMKKSB;1;10241967;;
102381385;KM_KKSB;Клиентский менеджер ККСБ (Управление торговли МБ);;;[20000726, 20000727, 20000195];[10241463];;KMKKSB;1;10241463;;
102381386;KM_KKSB;Клиентский менеджер ККСБ (Управление транспорта МБ);;;[20000726, 20000727, 20000195];[10241962];;KMKKSB;1;10241962;;
102401001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат СРБ);;;[20000726, 20000727, 20000195];[10290247];;KMKKSB;1;10290247;;
102421001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ВВБ);;;[20000726, 20000727, 20000195];[10299006];;KMKKSB;1;10299006;;
102441001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат СИБ);;;[20000726, 20000727, 20000195];[10295911];;KMKKSB;1;10295911;;
102521001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ЮЗБ);;;[20000726, 20000727, 20000195];[10295859];;KMKKSB;1;10295859;;
102521002;KM_KKSB;Клиентский менеджер ККСБ (ГО Крым ЮЗБ);;;[20000726, 20000727, 20000195];[10361334, 10361333];;KMKKSB;1;10337151;;
102541001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ПБ);;;[20000726, 20000727, 20000195];[10295424];;KMKKSB;1;10295424;;
102551001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат СЗБ);;;[20000726, 20000727, 20000195];[10298976];;KMKKSB;1;10298976;;
102551002;KM_KKSB;Клиентский менеджер ККСБ (ГО СПБ СЗБ);;;[20000726, 20000727, 20000195];[10295756, 10295995, 10296614];;KMKKSB;1;10086553;;
102551003;KM_KKSB;Клиентский менеджер ККСБ (ГО Ленинградской обл. СЗБ);;;[20000726, 20000727, 20000195];[10296607];;KMKKSB;1;10086573;;
102701001;KM_KKSB;Клиентский менеджер ККСБ (Аппарат ДВБ);;;[20000726, 20000727, 20000195];[10296390];;KMKKSB;1;10296390;;
102901001;KM_KKSB;Клиентский менеджер ККСБ (в ГОСБ вне Аппаратов ТБ);;;[20000726, 20000727, 20000195];[10296817, 10298931, 10296455, 10292723, 10295737, 10324942, 10296744, 10291622, 10296726, 10296276, 10296736, 10326803, 10291688, 10296497, 10295724, 10295797, 10295306, 10295791, 10302097, 10358175, 10302090, 10296029, 10341283, 10341282, 10341284, 10336710, 10336708, 10336711, 10295917, 10309159, 10309161, 10309160, 10343353, 10343351, 10343352, 10300800, 10315173, 10315171, 10349990, 10349988, 10330409, 10352202, 10352203, 10308062, 10291616, 10296806, 10313546, 10313544, 10309990, 10309989, 10309155, 10309154, 10329098, 10329099, 10319126, 10319127, 10308287, 10308288, 10309952, 10334702, 10334712, 10309951, 10309726, 10310504, 10308421, 10308419, 10309368, 10309367, 10309995, 10309994, 10313570, 10313569, 10309650, 10309651, 10313571, 10313572, 10355637, 10355590, 10309366, 10342925, 10308597, 10309150, 10296496, 10356595, 10356853, 10295862, 10309152, 10295863, 10295864, 10295865, 10310079, 10295866, 10296409, 10308244, 10309158, 10295629, 10313564, 10313562, 10309991, 10308241, 10308320, 10308242, 10310090, 10296816, 10309162, 10325925, 10296026, 10296853, 10298953, 10301256, 10310091, 10298954, 10315159, 10370222, 10370484, 10370483, 10363426];;KMKKSB;1;;;
102901002;KM_KKSB;Клиентский менеджер ККСБ (Специалист);;;[20000255];[10308421, 10313530, 10308419];;KMKKSB;1;;;
103130001;RUK_KPK_KKSB;Руководитель КПК ККСБ (Аппарат ЦЧБ);;;[20000082];[10293924];;KMKKSB;0;10293924;;
103160001;RUK_KPK_KKSB;Руководитель КПК ККСБ (Аппарат УБ);;;[20000082];[10293489];;KMKKSB;0;10293489;;
103180001;RUK_KPK_KKSB;Руководитель КПК ККСБ (Аппарат ББ);;;[20000082];[10353225];;KMKKSB;0;10353225;;
103380381;RUK_KPK_KKSB;Руководитель КПК ККСБ (Управление инфраструктуры МБ);;;[20000082];[10242114];;KMKKSB;0;10242114;;
103380382;RUK_KPK_KKSB;Руководитель КПК ККСБ (Управление промышленности МБ);;;[20000082];[10242078];;KMKKSB;0;10242078;;
103380383;RUK_KPK_KKSB;Руководитель КПК ККСБ (Управление сферы недвижимости МБ);;;[20000082, 20000108];[10240714];[10323500];KMKKSB;0;10240714;;
103380384;RUK_KPK_KKSB;Руководитель КПК ККСБ (Управление сферы услуг МБ);;;[20000082];[10241967];;KMKKSB;0;10241967;;
103380385;RUK_KPK_KKSB;Руководитель КПК ККСБ (Управление торговли МБ);;;[20000082];[10241463];;KMKKSB;0;10241463;;
103380386;RUK_KPK_KKSB;Руководитель КПК ККСБ (Управление транспорта МБ);;;[20000082];[10241962];;KMKKSB;0;10241962;;
103400001;RUK_KPK_KKSB;Руководитель КПК ККСБ (Аппарат СРБ);;;[20000082];[10290247];;KMKKSB;0;10290247;;
103420001;RUK_KPK_KKSB;Руководитель КПК ККСБ (Аппарат ВВБ);;;[20000082];[10299006];;KMKKSB;0;10299006;;
103440001;RUK_KPK_KKSB;Руководитель КПК ККСБ (Аппарат СИБ);;;[20000082];[10295911];;KMKKSB;0;10295911;;
103520001;RUK_KPK_KKSB;Руководитель КПК ККСБ (Аппарат ЮЗБ);;;[20000082];[10295859];;KMKKSB;0;10295859;;
103520002;RUK_KPK_KKSB;Руководитель КПК ККСБ (ГО Крым ЮЗБ);;;[20000082];[10361334, 10361333];;KMKKSB;0;10337151;;
103540001;RUK_KPK_KKSB;Руководитель КПК ККСБ (Аппарат ПБ);;;[20000082, 20000108];[10295424];;KMKKSB;0;10295424;;
103550001;RUK_KPK_KKSB;Руководитель КПК ККСБ (Аппарат СЗБ);;;[20000082];[10298976];;KMKKSB;0;10298976;;
103550002;RUK_KPK_KKSB;Руководитель КПК ККСБ (ГО СПБ СЗБ);;;[20000082];[10295756, 10295995, 10296614];;KMKKSB;0;10086553;;
103550003;RUK_KPK_KKSB;Руководитель КПК ККСБ (ГО Ленинградской обл. СЗБ);;;[20000082];[10296607];;KMKKSB;0;10086573;;
103700001;RUK_KPK_KKSB;Руководитель КПК ККСБ (Аппарат ДВБ);;;[20000082];[10296390];;KMKKSB;0;10296390;;
103900001;RUK_KPK_KKSB;Руководитель КПК ККСБ (в ГОСБ вне Аппаратов ТБ);;;[20000082, 20000108, 20004560];[10296817, 10298931, 10296455, 10292723, 10295737, 10324942, 10296744, 10291622, 10296726, 10296276, 10296736, 10326803, 10291688, 10296497, 10295724, 10295797, 10295306, 10295791, 10302097, 10358175, 10302090, 10296029, 10341283, 10341282, 10341284, 10336710, 10336708, 10336711, 10295917, 10309159, 10309161, 10309160, 10343353, 10343351, 10343352, 10300800, 10315173, 10315171, 10349990, 10349988, 10330409, 10352202, 10352203, 10308062, 10291616, 10296806, 10313546, 10313544, 10309990, 10309989, 10309155, 10309154, 10329098, 10329099, 10319126, 10319127, 10308287, 10308288, 10309952, 10334702, 10334712, 10309951, 10309726, 10310504, 10308421, 10308419, 10309368, 10309367, 10309995, 10309994, 10313570, 10313569, 10309650, 10309651, 10313571, 10313572, 10355637, 10355590, 10309366, 10342925, 10308597, 10309150, 10296496, 10356595, 10356853, 10295862, 10309152, 10295863, 10295864, 10295865, 10310079, 10295866, 10296409, 10308244, 10309158, 10295629, 10313564, 10313562, 10309991, 10308241, 10308320, 10308242, 10310090, 10296816, 10309162, 10325925, 10296026, 10296853, 10298953, 10301256, 10310091, 10298954, 10315159, 10370222, 10370484, 10370483, 10363426];;KMKKSB;0;;;
104130001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Аппарат ЦЧБ);;;[20000282, 20000157];[10293924];;KMKKSB;0;10293924;;
104160001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Аппарат УБ);;;[20000282, 20000157];[10293489];;KMKKSB;0;10293489;;
104180001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Аппарат ББ);;;[20000282, 20000157];[10353225];;KMKKSB;0;10353225;;
104380381;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Управление инфраструктуры МБ);;;[20000282, 20000157];[10242114];;KMKKSB;0;10242114;;
104380382;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Управление промышленности МБ);;;[20000282, 20000157];[10242078];;KMKKSB;0;10242078;;
104380383;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Управление сферы недвижимости МБ);;;[20000282, 20000157];[10240714];;KMKKSB;0;10240714;;
104380384;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Управление сферы услуг МБ);;;[20000282, 20000157];[10241967];;KMKKSB;0;10241967;;
104380385;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Управление торговли МБ);;;[20000282, 20000157];[10241463];;KMKKSB;0;10241463;;
104380386;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Управление транспорта МБ);;;[20000282, 20000157];[10241962];;KMKKSB;0;10241962;;
104400001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Аппарат СРБ);;;[20000282, 20000157];[10290247];;KMKKSB;0;10290247;;
104420001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Аппарат ВВБ);;;[20000282, 20000157];[10299006];;KMKKSB;0;10299006;;
104440001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Аппарат СИБ);;;[20000282, 20000157];[10295911];;KMKKSB;0;10295911;;
104520001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Аппарат ЮЗБ);;;[20000282, 20000157];[10295859];;KMKKSB;0;10295859;;
104520002;AKM_KKSB;Ассистент клиентского менеджера ККСБ (ГО Крым ЮЗБ);;;[20000282];[10361334, 10361333];;KMKKSB;0;10337151;;
104540001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Аппарат ПБ);;;[20000282, 20000157];[10295424];;KMKKSB;0;10295424;;
104550001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Аппарат СЗБ);;;[20000282, 20000157];[10298976];;KMKKSB;0;10298976;;
104550002;AKM_KKSB;Ассистент клиентского менеджера ККСБ (ГО СПБ СЗБ);;;[20000282];[10295756, 10295995, 10296614];;KMKKSB;0;10086553;;
104550003;AKM_KKSB;Ассистент клиентского менеджера ККСБ (ГО Ленинградской обл. СЗБ);;;[20000282];[10296607];;KMKKSB;0;10086573;;
104700001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (Аппарат ДВБ);;;[20000282, 20000157];[10296390];;KMKKSB;0;10296390;;
104900001;AKM_KKSB;Ассистент клиентского менеджера ККСБ (в ГОСБ вне Аппаратов ТБ);;;[20000282];[10296817, 10298931, 10296455, 10292723, 10295737, 10324942, 10296744, 10291622, 10296726, 10296276, 10296736, 10326803, 10291688, 10296497, 10295724, 10295797, 10295306, 10295791, 10302097, 10358175, 10302090, 10296029, 10341283, 10341282, 10341284, 10336710, 10336708, 10336711, 10295917, 10309159, 10309161, 10309160, 10343353, 10343351, 10343352, 10300800, 10315173, 10315171, 10349990, 10349988, 10330409, 10352202, 10352203, 10308062, 10291616, 10296806, 10313546, 10313544, 10309990, 10309989, 10309155, 10309154, 10329098, 10329099, 10319126, 10319127, 10308287, 10308288, 10309952, 10334702, 10334712, 10309951, 10309726, 10310504, 10308421, 10308419, 10309368, 10309367, 10309995, 10309994, 10313570, 10313569, 10309650, 10309651, 10313571, 10313572, 10355637, 10355590, 10309366, 10342925, 10308597, 10309150, 10296496, 10356595, 10356853, 10295862, 10309152, 10295863, 10295864, 10295865, 10310079, 10295866, 10296409, 10308244, 10309158, 10295629, 10313564, 10313562, 10309991, 10308241, 10308320, 10308242, 10310090, 10296816, 10309162, 10325925, 10296026, 10296853, 10298953, 10301256, 10310091, 10298954, 10315159, 10370222, 10370484, 10370483, 10363426];;KMKKSB;0;;;
205901001;KM_MNS;Менеджер по нефинансовым сервисам;;;[20008479, 20008478];;;MNS;1;;;0
206900001;GMNS;Главный менеджер по нефинансовым сервисам;;;[20008477];;;MNS;0;;;0
207900001;RUK_MNS;Директор управления продаж нефинансовых сервисов;;;[20000054];[10353029, 10353608, 10353301, 10353152, 10353040, 10353227, 10353167, 10353555, 10352937, 10352887, 10352657];;MNS;0;;;0
317381001;MR_SERVICE;Менеджер по сервису (Аппарат МБ);;;[20009532, 20009545, 20002904, 20003713];[10339878];;SERVICEMEN;1;10000367;;
317401001;MR_SERVICE;Менеджер по сервису (Аппарат СРБ);;;[20009532, 20009545, 20002904, 20003713];[10237318];;SERVICEMEN;1;10290247;;
317901001;MR_SERVICE;Менеджер по сервису;;;[20009532, 20009545, 20002904, 20003713];[10016678, 10016445, 10016438, 10000367, 10016443, 10037179, 10108866, 10101758, 10016441, 10086568, 10016449];;SERVICEMEN;1;;;
336900001;SERVICEMEN_LOOK;Наблюдатель от блока Сервисы;[00459480];;;[10235614];;SERVICEMEN;0;;;0
339902001;RUK_SERVICEMEN_TOP;Руководитель ТОП Сервис-менеджер;[01729301];;;[10235614];;SERVICEMEN;2;;;0
432901001;KM_FAKTORING;КМ Факторинга;[1000000483, 999036748];;;[110000001];110000001;KMFACTORING;1;;101;0
434900001;FAKTORING_LOOK;Наблюдатель от Факторинга;[999012014, 1000000202];;;[110000001];110000001;KMFACTORING;0;;101;0
437902001;RUK_FAKTORING_TOP;Руководитель ТОП Факторинг;[1000001058, 1000001125, 999089501, 999086770];;;[110000001];110000001;KMFACTORING;2;;101;0
508131001;KM_SB1;Клиентский менеджер Сбер Первый (ЦЧБ другие ГОСБ);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10312075, 10312077, 10312078, 10312079, 10312080, 10312076];;KMSB1;1;;;
508161001;KM_SB1;Клиентский менеджер Сбер Первый (УБ другие ГОСБ);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10311430, 10311431, 10311432, 10311433, 10311434, 10311437, 10311435];;KMSB1;1;;;
508181001;KM_SB1;Клиентский менеджер Сбер Первый (ББ другие ГОСБ);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10311425, 10311428, 10311427, 10311426];;KMSB1;1;;;
508381001;KM_SB1;Клиентский менеджер Сбер Первый (МБ);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10230262];;KMSB1;1;10156582;;
508401001;KM_SB1;Клиентский менеджер Сбер Первый (СРБ Аппарат);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10310726];;KMSB1;1;10300825;;
508401002;KM_SB1;Клиентский менеджер Сбер Первый (СРБ Восточное ГОСБ);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10310728];;KMSB1;1;10182580;;
508401003;KM_SB1;Клиентский менеджер Сбер Первый (СРБ Западное ГОСБ);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10310729];;KMSB1;1;10182582;;
508401004;KM_SB1;Клиентский менеджер Сбер Первый (СРБ Северное ГОСБ);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10310734];;KMSB1;1;10182583;;
508401005;KM_SB1;Клиентский менеджер Сбер Первый (СРБ Южное ГОСБ);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10310738];;KMSB1;1;10182581;;
508421001;KM_SB1;Клиентский менеджер Сбер Первый (ВВБ другие ГОСБ);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10310562, 10310560, 10310556, 10310558, 10310561, 10310557, 10310559, 10310555, 10310554];;KMSB1;1;;;
508441001;KM_SB1;Клиентский менеджер Сбер Первый (СИБ другие ГОСБ);;;[20010577, 20006026, 20009052, 20009051, 20012734, 20012301, 20010601, 20010576, 20009101, 20000627, 20015451, 20015452, 20015453, 20014777];[10311302, 10311300, 10311301, 10310538, 10311176, 10310537, 10311175];;KMSB1;1;;;
